Status	H	DAS
NQ	175	1.2
NQ	340	4.2
NQ	280	2.6
NQ	270	3.5
NQ	315	5.1
NQ	310	3.3
NQ	320	5.85
NQ	150	1.9
NQ	330	3.9
NQ	320	4.4
NQ	340	3.6
NQ	350	5.6
NQ	350	4.4
NQ	335	4.8
NQ	310	3.9
NQ	320	3.1
NQ	150	1.1
NQ	200	3
NQ	185	1.9
NQ	120	1.25
NQ	280	3.6
NQ	145	1.1
NQ	90	1.4
NQ	260	4.15
NQ	200	2.9
NQ	225	2.05
NQ	320	4.4
NQ	107	1.3
NQ	110	2.1
NQ	70	2.1
NQ	170	2.9
NQ	165	3.2
NQ	205	2.4
NQ	92	2.4
NQ	15	0.7
NQ	155	2.2
NQ	84	1.4
NQ	15	0.4
NQ	112	2.6
NQ	100	2
NQ	140	1.7
NQ	68	1.4
NQ	157	3.2
NQ	120	4.3
NQ	145	2.3
NQ	137	2.1
NQ	100	1.4
NQ	25	2
NQ	45	1.2
NQ	160	2.5
NQ	115	2.1
NQ	54	1.1
NQ	215	3.3
NQ	53	0.6
NQ	30	0.5
NQ	94	1.6
NQ	130	1.9
NQ	110	2.4
NQ	113	2.1
NQ	80	1.5
NQ	113	2.1
NQ	310	3.7
NQ	100	2.5
NQ	59	0.9
NQ	75	0.8
NQ	106	1.6
NQ	115	1.9
NQ	19	1.1
NQ	55	0.9
NQ	156	2.2
NQ	165	2.4
NQ	90	1.8
NQ	38	1.1
NQ	30	1.5
NQ	157	2.2
NQ	183	3
NQ	115	1.6
NQ	93	1.2
NQ	10	1.3
NQ	9	1.2
NQ	40	0.9
NQ	164	2.1
NQ	55	2.9
NQ	23	0.4
NQ	10	0.3
NQ	52	0.9
NQ	77	1.7
NQ	61	2
NQ	63	1.9
NQ	48	0.7
NQ	36	0.8
NQ	73	1
NQ	75	1
NQ	82	1.1
NQ	110	1.7
NQ	110	1.4
NQ	47	0.6
NQ	82	1.1
NQ	60	1
NQ	15	1.4
NQ	210	4.5
NQ	50	0.9
NQ	118	1.5
NQ	90	0.9
NQ	65	0.6
NQ	72	0.7
NQ	80	1.1
NQ	77	1.2
NQ	87	1.9
NQ	135	2.4
NQ	250	2.9
NQ	220	2.8
NQ	220	3.3
NQ	230	3.4
NQ	190	2.2
NQ	230	2.8
NQ	240	4.4
NQ	215	2.3
NQ	180	1.7
NQ	135	1.8
NQ	56	2.1
NQ	116	1.8
NQ	70	1.6
NQ	106	2.8
NQ	135	1.9
NQ	55	1.4
NQ	8	0.7
NQ	64	1.4
NQ	104	3
NQ	96	1.4
NQ	95	1.2
NQ	40	1.2
NQ	36	1.4
NQ	23	0.9
NQ	33	1.1
NQ	20	1.3
NQ	92	1.3
NQ	20	1.1
NQ	75	1.6
NQ	18	1.5
NQ	52	1.4
NQ	54	1
NQ	60	1.2
NQ	138	2.1
NQ	42	0.9
NQ	42	1.2
NQ	70	0.9
NQ	89	1.2
NQ	70	2.5
NQ	68	1
NQ	33	0.2
NQ	46	0.7
NQ	29	0.4
NQ	24	0.4
NQ	39	0.6
NQ	57	0.6
NQ	10	1.2
NQ	58	0.9
NQ	41	1.1
NQ	22	0.6
NQ	81	1.5
NQ	83	0.9
NQ	109	1.6
NQ	130	1.6
NQ	160	1.5
NQ	120	1.3
NQ	50	1
NQ	65	0.6
NQ	17	0.9
NQ	74	1.2
NQ	13	1.2
NQ	139	1.1
NQ	280	3.4
NQ	200	4
NQ	280	3.4
NQ	137	2
NQ	65	1.1
NQ	118	2.1
NQ	49	0.7
NQ	84	1.4
NQ	46	1.1
NQ	49	0.4
NQ	27	1.1
NQ	200	2.5
NQ	125	1.9
NQ	130	1.5
NQ	78	0.6
NQ	90	1.4
NQ	115	0.9
NQ	85	0.8
NQ	210	2.4
NQ	220	2.6
NQ	210	3.1
NQ	200	2.9
NQ	190	2.2
NQ	190	2.6
NQ	185	2.8
NQ	180	3.6
NQ	190	3.6
NQ	190	2.5
NQ	87	1.6
NQ	160	2.4
NQ	160	2.1
NQ	115	2.2
NQ	15	1.3
NQ	43	1.2
NQ	50	1.5
NQ	120	2.2
NQ	25	1.1
NQ	99	1.5
NQ	99	1.7
NQ	31	1.7
NQ	140	1.6
NQ	140	2.1
NQ	80	0.9
NQ	50	0.8
NQ	135	1.9
NQ	100	2.4
NQ	65	1.3
NQ	135	1
NQ	115	1.6
NQ	130	2.6
NQ	30	1.1
NQ	145	3.1
NQ	78	1.3
NQ	55	1.3
NQ	120	1.3
NQ	65	2.1
NQ	105	2.1
NQ	80	1.4
NQ	55	0.6
NQ	100	2
NQ	155	2.6
NQ	46	1.2
NQ	55	1.6
NQ	142	2.1
NQ	94	1.7
NQ	150	1.9
NQ	29	0.6
NQ	59	0.7
NQ	106	2.6
NQ	65	1.7
NQ	67	1.4
NQ	66	3.1
NQ	36	1.2
NQ	133	1.7
NQ	16	1.6
NQ	42	1.1
NQ	12	1.5
NQ	120	1.4
NQ	120	1.2
NQ	32	0.7
NQ	96	1.1
NQ	128	1.4
NQ	113	0.7
NQ	25	1
NQ	76	1.3
NQ	69	1.1
NQ	82	1.4
NQ	30	0.8
NQ	65	1.7
NQ	70	1.3
NQ	230	5.5
NQ	155	1.1
NQ	44	1.2
NQ	210	2.6
NQ	160	2.2
NQ	75	1.3
NQ	160	1.8
NQ	250	4.9
NQ	150	3.9
NQ	200	3.5
NQ	103	1.6
NQ	260	4.6
NQ	230	3.2
NQ	80	0.8
NQ	95	0.8
NQ	93	1
NQ	86	1.4
NQ	86	1.3
NQ	130	0.9
NQ	170	1.9
NQ	170	1.9
NQ	130	1.5
NQ	95	2
NQ	31	0.9
NQ	85	1.6
NQ	143	1.7
NQ	55	1.2
NQ	55	0.8
NQ	63	1.3
NQ	76	1.6
NQ	48	0.9
NQ	74	1.2
NQ	72	1
NQ	103	1.5
NQ	20	0.6
NQ	82	0.6
NQ	79	1
NQ	92	1
NQ	72	0.5
NQ	69	1.1
NQ	60	1.2
NQ	103	2.1
NQ	40	1.7
NQ	88	1.1
NQ	62	1.9
NQ	45	1.2
NQ	82	1.3
NQ	17	1.8
NQ	134	1.7
NQ	75	1.1
NQ	39	1.8
NQ	48	1.6
NQ	44	0.7
NQ	70	0.5
NQ	113	1.4
NQ	98	2
NQ	31	0.7
NQ	54	0.4
NQ	87	1.2
