Planta	Aug-11	Mar-12
1	3.1145749568	3.9378371656
2	7.0882184247	8.6830675702
3	8.441538	10.3292951074
4	19.9370967584	22.4970604459
5	31.7760315938	34.3879171685
6	17.1314188993	20.7588996975
7	2.8026933461	2.1822822041
8	21.0697194498	26.1652774906
9	6.9354584819	11.447652612
10	1.8547963027	2.2527638353
11	0.3554712088	0.4395535799
12	22.8346662026	26.3962387431
13	9.8876916383	10.3595054478
14	29.66943664	27.9093412916
15	7.2684673032	7.179938793
16	25.1309348129	25.5434604859
17	6.2607229197	4.2637334211
18	0.5811946409	0.5534174641
19	5.6377450965	4.5667078313
20	9.0693852918	8.9132269312
21	2.9157121418	2.7214651118
22	12.9115423281	12.7944062587
23	7.4698433923	6.7968443454
24	1.6400684448	1.8579520325
25	3.7392806559	5.3378243144
