Transect	Plot	x	y	PropBurntInd	PropBurntStems	BAlive	Nindlive	BAwoody	BAnonwoody	BAdead	NindAd	NindAdBr	NindBr	NindM	NindPl	NindNL
1	1	102.5	2.5	0.4166666667	0.2	271.019307752	24	269.448511425	1.570796327	17.66360469	16	0	8	0	0	8
1	2	102.5	7.5	0.8571428571	0.7321428571	55.97446316	19	36.61243494	19.36202822	86.49676367	4	0	15	2	0	15
1	3	102.5	12.5	1	0.5714285714	19.218693059	3	18.07201174	1.146681319	10.13163631	1	0	2	0	0	2
1	4	102.5	17.5	0.5	0.5238095238	52.97007957	6	51.0587346	1.91134497	18.2184885	5	0	1	0	0	1
1	5	102.5	22.5	0.6666666667	0.3333333333	22.80796266	6	18.04844979	4.75951287	4.162610266	3	1	2	0	0	2
1	6	102.5	27.5	1	0.5	3.337942195	1	2.83528737	0.502654825	1.083849465	0	1	0	0	0	0
1	7	102.5	32.5	0	0	8.835729338	2	8.835729338	0	1.735729941	2	0	0	0	0	0
1	8	102.5	37.5	0.1666666667	0	42.018801742	13	41.688934513	0.329867229	15.19745446	10	1	1	1	1	2
1	9	102.5	42.5	0	0	105.227645906	11	105.227645906	0	9.511171759	10	1	0	0	0	0
1	10	102.5	47.5	0.25	0.0434782609	89.236939329	4	89.236939329	0	9.731083244	4	0	0	0	0	0
1	11	102.5	52.5	1	1	17.26305163	8	0	17.26305163	47.8543101	0	0	8	3	0	8
1	12	102.5	57.5	1	0.8958333333	31.620130061	20	3.801327111	27.81880295	92.02510281	0	1	19	1	0	19
1	13	102.5	62.5	0.9285714286	0.9	37.71450565	13	12.401437	25.31306865	90.24224897	4	1	8	1	0	8
1	14	102.5	67.5	1	1	40.762164683	9	8.042477193	32.71968749	93.67443895	1	0	8	0	0	8
1	16	102.5	77.5	1	1	21.27643625	3	0	21.27643625	67.23793677	0	0	3	0	0	3
1	17	102.5	82.5	1	1	16.28130393	9	0	16.28130393	42.74922203	0	0	9	0	0	9
1	18	102.5	87.5	1	1	25.47046244	18	0	25.47046244	57.75818094	0	0	18	1	0	18
1	19	102.5	92.5	1	1	38.84579316	21	0	38.84579316	86.07963871	0	0	21	1	0	21
1	20	102.5	97.5	1	1	24.92068372	12	0	24.92068372	110.772557	0	0	12	0	0	12
2	1	77.5	2.5	0.8	1	9.346238145	6	0	9.346238145	6.157521601	0	0	5	0	1	6
2	2	77.5	7.5	1	1	8.199556826	3	0	8.199556826	35.9633819	0	0	3	0	0	3
2	3	77.5	12.5	0.8461538462	0.380952381	21.731967181	12	17.514379044	4.217588137	2.528982086	6	3	3	1	0	3
2	4	77.5	17.5	0.4838709677	0.2537313433	59.10906578	32	56.799995179	2.309070601	14.93041909	21	5	4	0	2	6
2	5	77.5	22.5	0.5	0.4285714286	62.462715936	11	58.77919855	3.683517386	6.000441968	7	0	2	1	2	4
2	6	77.5	27.5	0.875	0.4285714286	17.702874599	10	15.92787475	1.774999849	4.154756284	3	2	3	0	2	5
2	7	77.5	32.5	0.3333333333	0.1333333333	88.404417274	6	87.80751467	0.596902604	10.479175	5	0	1	0	0	1
2	8	77.5	37.5	0.5714285714	0.4782608696	68.172560585	7	68.039042897	0.133517688	8.011061267	5	2	0	0	0	0
2	9	77.5	42.5	0.5	0.1428571429	27.15121451	6	27.15121451	0	15.73937919	6	0	0	1	0	0
2	10	77.5	47.5	1	0.7894736842	46.856854425	6	46.856854425	0	0.636172512	6	0	0	0	0	0
2	11	77.5	52.5	0.7647058824	0.5454545455	114.730963705	14	97.279416515	17.45154719	40.36161162	11	0	3	4	0	3
2	12	77.5	57.5	1	1	7.367034773	1	0	7.367034773	22.34457775	0	0	1	0	0	1
2	14	77.5	67.5	1	1	19.02744861	2	0	19.02744861	38.7436914	0	0	2	0	0	2
2	15	77.5	72.5	0.8	0.9444444444	13.720905912	5	2.269800692	11.45110522	51.60851332	1	0	4	0	0	4
2	16	77.5	77.5	1	0.96875	31.31421747	14	0	31.31421747	128.8759846	0	0	14	1	0	14
2	17	77.5	82.5	1	0.75	6.000441968	2	0	6.000441968	15.98285263	0	0	2	0	0	2
2	18	77.5	87.5	1	1	43.11686691	14	0	43.11686691	126.8339494	0	0	14	0	0	14
2	19	77.5	92.5	1	1	15.70796327	6	0	15.70796327	90.94125334	0	0	6	1	0	6
2	20	77.5	97.5	1	0.9722222222	61.308180633	10	51.72632304	9.581857593	58.21371187	0	2	8	3	0	8
3	1	52.5	2.5	1	1	5.175773897	6	0	5.175773897	12.09513172	0	0	6	0	0	6
3	2	52.5	7.5	1	1	11.60944149	8	0	11.60944149	19.06161343	0	0	8	0	0	8
3	3	52.5	12.5	1	1	9.880308896	13	0	9.880308896	26.22444468	0	0	13	1	0	13
3	4	52.5	17.5	1	1	5.694136685	10	0	5.694136685	12.39358302	0	0	10	0	0	10
3	5	52.5	22.5	1	1	18.59822851	10	0	18.59822851	24.90497576	0	0	10	0	0	10
3	6	52.5	27.5	1	1	37.322984659	12	8.694357669	28.62862699	66.09125545	0	2	10	0	0	10
3	7	52.5	32.5	1	1	87.79966069	15	71.95032575	15.84933494	30.22212133	1	2	12	0	0	12
3	8	52.5	37.5	1	1	30.89976286	9	4.6181412	26.28162166	86.37809001	1	1	7	1	0	7
3	9	52.5	42.5	0.5384615385	0.2682926829	109.987158799	13	109.70441546	0.282743339	77.97432966	10	2	1	0	0	1
3	10	52.5	47.5	1	0.625	8.765043504	3	4.508185458	4.256858046	6.903649856	1	0	2	0	0	2
3	11	52.5	52.5	1	1	36.89015173	13	0	36.89015173	82.00342224	0	0	13	1	0	13
3	12	52.5	57.5	1	1	8.765043504	3	0	8.765043504	4.453207586	0	0	3	0	0	3
3	14	52.5	67.5	1	1	2.3090706	1	0	2.3090706	2.269800692	0	0	1	0	0	1
3	15	52.5	72.5	1	1	16.13207828	4	0	16.13207828	16.67400301	0	0	4	0	0	4
3	17	52.5	82.5	1	1	11.01913623	5	0	11.01913623	38.85364714	0	0	5	0	0	5
3	18	52.5	87.5	1	1	30.2770992	6	0	30.2770992	76.62344482	0	0	6	0	0	6
3	19	52.5	92.5	1	1	3.282964323	4	0	3.282964323	4.696681017	0	0	4	0	0	4
3	20	52.5	97.5	1	1	54.12178744	12	28.22720999	25.89457745	45.86725274	0	1	11	0	0	11
4	1	27.5	2.5	1	0.8461538462	52.90442029	15	40.42444347	12.47997682	88.85209423	0	1	14	1	0	14
