Area	Coleta	Replica	Densidade	Altura	Biomassa	Serrapilheira
1	1	1	7	2.3357142857	476	823.6
1	1	3	8	2.56375	1327.1	1607.3
1	1	5	1	3.3	155.1	1218
1	1	9	5	2.536	824.48	1247.1
1	1	12	4	3.395	388	1386.7
1	1	13	6	2.3916666667	774.2	610.6
1	1	16	4	2.0375	510.9	1657.3
1	1	17	2	3.2	422.4	1490.8
1	1	19	9	3.0266666667	443.9	1188.6
1	1	20	6	3.2216666667	1091	1121.1
1	1	21	6	2.75	732	1344.6
1	1	28	4	2.91	987.2	1788.7
1	1	30	7	2.6257142857	1038	698.2
1	1	32	1	3.32	118.8	552.5
1	1	37	3	1.4666666667	334.09	605.8
1	1	39	6	3.085	665.9	713.4
1	1	43	6	2.5933333333	160.4	113.9
1	1	46	5	1.406	219.8	1189.1
1	1	49	2	2.83	1036	742.5
1	1	50	6	2.2283333333	582.8	1082.2
1	2	1	2	1.04	55.2	609
1	2	2	1	0.64	7	796.5
1	2	3	1	1.25	13.7	560.9
1	2	4	4	1.28	125.3	525.7
1	2	5	3	1.6733333333	149.7	600.1
1	2	6	0	0	0	647.3
1	2	7	2	2.875	265.4	1384.8
1	2	8	0	0	0	1004.3
1	2	9	2	2.94	245.2	389
1	2	10	0	0	0	715.2
1	2	11	6	0.5383333333	164.4	452.7
1	2	12	0	0	0	493.3
1	2	13	2	2.825	636	192.3
1	2	14	1	3.37	236.1	260
1	2	15	2	3.64	337.1	237.4
1	2	16	3	3.59	310.5	952.3
1	2	17	2	3.035	342.5	740.1
1	2	18	4	2.855	373.4	1012
1	2	19	4	1.81	300.1	365
1	2	20	5	3.48	265	184.7
1	3	1	1	0.81	129.31	424.71
1	3	5	0	0	579.97	1942.44
1	3	7	1	0.12	151.12	1255.96
1	3	11	0	0	25.71	458.11
1	3	13	1	0.26	135.41	349.67
1	3	16	0	0	12.61	233.06
1	3	17	0	0	63.44	312.05
1	3	23	1	1.84	245.58	508.23
1	3	24	1	1.2	585.81	1516.9
1	3	25	0	0	11.92	1051.01
1	3	28	2	1.41	67.25	271.4
1	3	36	0	0	88.4	1263.38
1	3	38	0	0	493.47	586.91
1	3	41	0	0	19.98	569.41
1	3	44	2	1.65	378.07	657.24
1	3	45	0	0	234.95	743.68
1	3	48	0	0	14.1	592.15
1	3	49	2	2.53	503.17	807.25
1	3	52	0	0	155.49	1666.61
1	3	54	3	1.7266666667	348.87	923.87
1	4	1.1	2	0.67	51.51	450.67
1	4	1.2	1	0.42	16.7	709.55
1	4	2.1	1	0.45	1.11	1256.34
1	4	2.2	2	0.445	175.14	1019.68
1	4	2.3	4	0.515	294.38	1340.57
1	4	2.4	3	0.54	9.87	1009.7
1	4	2.5	2	0.515	12.43	13.11
1	4	2.6	2	0.92	14.34	752.93
1	4	3.1	0	0	131.36	279.33
1	4	3.2	4	1.0925	109.28	596.46
1	4	4.1	3	0.82	728.23	592.52
1	4	4.2	3	1.53	344.78	870.37
1	4	4.3	2	1.575	416.07	482.41
1	4	5.1	0	0	106.08	987.17
1	4	5.2	1	0.61	3.43	1069.9
1	4	5.3	2	0.63	8.38	706.05
1	4	5.4	0	0	132.26	586.71
1	4	5.5	1	0.25	119.95	860.74
1	4	6.1	9	1.2722222222	311.56	711.17
1	4	6.2	7	0.5857142857	258.32	536.93
2	1	1	7	1.9085714286	728.3	1553.8
2	1	2	8	1.6375	408.8	1246.4
2	1	3	16	1.30875	672.7	436.3
2	1	4	24	1.4775	1048.1	500.6
2	1	5	16	1.3875	682	284.3
2	1	6	26	2.0780769231	1455.2	527.5
2	1	7	17	1.4523529412	714.5	547.1
2	1	8	5	1.424	252.7	835.46
2	1	9	14	1.9164285714	1163	596
2	1	10	17	1.5052941176	466.5	370.8
2	1	11	10	1.796	734	372.8
2	1	12	12	1.4875	921.4	234
2	1	13	26	1.515	392.7	69.2
2	1	14	13	1.6676923077	1018.6	365.1
2	1	15	15	1.602	841.1	393.4
2	1	16	13	1.17	537	240.5
2	1	17	10	1.712	769.7	525.2
2	1	18	4	1.105	114.5	390.1
2	1	19	17	1.3411764706	799	322.8
2	1	20	17	1.3564705882	743.4	531.9
2	2	1	13	1.7269230769	827.3	1306.3
2	2	2	31	1.744516129	989	1071.5
2	2	3	8	0.90875	679.6	1305.4
2	2	4	15	1.882	1746.3	484.2
2	2	5	5	1.9	585.4	591.2
2	2	6	9	1.8777777778	553.5	1319.9
2	2	7	9	1.63	860.7	1135
2	2	8	10	2.176	1167	979.9
2	2	9	5	1.686	449.1	944.6
2	2	10	7	2.1485714286	710	921.8
2	2	11	10	1.753	1060.1	882.8
2	2	12	4	2.0225	333.9	296.9
2	2	13	4	1.905	389.7	822.9
2	2	14	8	2.10125	1120.2	842.9
2	2	15	4	2	405.8	610.5
2	2	16	7	1.8414285714	656.9	687.9
2	2	17	5	1.772	606.6	1355.7
2	2	18	4	1.96	467.8	1161.6
