Status,Desenvolvimento,PeriodoDeAtividade,Desova,AltitudeMaxima
0,2,1,47.5,1200
1,2,1,8.3,1000
0,1,1,6.15,1000
0,NA,NA,NA,NA
0,1,1,10,1600
0,1,1,8,900
0,1,1,14.3,1200
0,1,1,12.05,1200
0,1,1,8.605,700
0,1,1,11,1300
0,1,3,17,900
1,1,1,11.8,1000
0,1,1,12.65,1400
0,1,1,11.45,1800
0,1,1,13.25,1300
0,1,NA,8,950
0,1,1,23.35,1000
0,1,3,27.7,1200
0,1,3,24.35,1200
0,1,3,24.25,1200
0,1,NA,22,1200
0,NA,2,32.4,800
0,1,3,33.1,1300
0,1,NA,27,1200
0,1,2,17.95,900
0,NA,NA,15.9,650
0,1,3,14,400
0,1,2,16.7,2150
0,1,3,22.6,2400
1,1,2,25.35,700
0,NA,NA,17.2,2150
0,1,2,19.2,800
0,1,2,36.15,40
0,1,NA,14.7,800
0,1,2,18,1000
0,1,2,20.35,800
0,1,3,20.35,600
0,1,2,23,700
0,NA,2,41.3,800
0,NA,NA,26.2,13
0,2,2,20,1100
0,2,2,14.6,900
0,2,NA,18,800
0,2,2,21,NA
0,NA,2,20.4,920
0,2,2,21,800
1,NA,1,15.25,0
0,2,2,13.4,820
0,2,1,24,2400
1,2,1,22.35,0
1,2,1,36,750
1,2,3,33,1100
1,2,3,NA,370
0,2,2,25,1300
0,2,1,28.85,550
0,2,NA,24.15,1200
0,2,2,66.7,0
0,2,2,80.05,900
0,2,2,57.75,1000
0,2,2,64.7,1000
0,2,2,49.9,500
0,2,2,52.75,600
0,2,2,46.9,1500
0,2,2,44.65,50
0,2,2,45.75,0
0,2,2,110,500
0,NA,2,133,1200
0,2,2,147.48,500
0,NA,2,180,2000
0,2,2,18.18,1700
0,2,2,21.05,1200
0,2,2,101,1000
0,2,2,84,200
0,1,2,35.3,1200
0,1,NA,20,800
0,1,3,17,800
0,1,3,16,600
0,1,3,15,650
1,1,NA,33.5,2000
1,1,2,35.75,2000
0,1,2,27,130
0,1,2,18,800
0,1,NA,19,800
0,1,2,40.7,1200
0,NA,2,24.3,2050
0,2,2,38,700
0,2,2,31,1000
1,2,NA,29.9,800
0,2,2,41.1,1100
1,2,2,34.55,150
0,2,NA,26.9,2740
0,2,2,45,800
0,2,2,59.3,1200
0,2,2,47.5,1000
0,2,2,33.5,1000
0,2,2,29.375,200
0,2,2,43.5,900
0,2,2,45.2,150
1,2,NA,32,1200
0,2,2,60.5,1500
1,NA,NA,NA,800
1,2,2,57.5,1000
0,2,2,66.6,820
0,2,2,30,650
0,2,2,18.8,1100
0,1,3,12.6,1000
1,1,3,12.25,1000
0,1,2,12,100
0,1,2,11.1,800
0,2,2,20.4,1800
0,2,2,28,1000
0,2,2,27.55,1200
0,1,2,55,1400
0,1,2,57.7,NA
0,1,2,42.35,1500
0,1,2,28.35,30
0,2,2,57.75,20
0,2,2,46,0
0,2,2,75,500
1,NA,2,56.05,280
0,2,2,39,800
0,2,2,37,1500
0,2,2,31,1100
0,2,2,33.4,300
0,2,2,38,650
0,2,2,43.5,1200
0,2,2,46,1800
0,2,2,34,800
0,2,2,39,270
0,2,2,43,1600
0,2,2,31.8,20
0,2,2,43.73,800
0,2,2,39.66,1200
0,2,2,40,1100
0,2,2,63.75,655
0,2,2,64,NA
0,2,2,60.15,1200
0,2,2,58.25,1000
0,2,2,39.1,1200
0,2,2,48.4,30
0,2,2,57.8,870
1,2,NA,44.95,1000
0,2,2,41,800
0,2,2,64,800
0,2,2,42.05,1300
0,2,2,41.1,1300
0,2,2,36,500
0,2,2,27.4,800
0,2,2,41,800
0,2,2,33.5,900
0,2,2,33.5,1000
0,2,2,32,NA
0,2,2,22,1200
0,2,2,27.5,1100
0,2,2,17,700
0,2,2,14,100
0,2,2,17.625,0
0,2,2,18.5,100
0,2,2,20,1500
0,2,2,16.5,970
0,2,2,16,NA
0,2,2,16.5,1000
0,2,2,19,800
0,2,2,20.3,2000
0,2,2,26.1,1100
0,2,2,24.3,1600
0,2,2,26.2,800
0,2,2,59.55,2000
0,2,2,71,400
0,2,2,49.5,1100
0,2,2,54.4,2300
0,2,2,90.05,130
0,2,2,84.7,800
0,2,2,62.4,1100
0,2,2,55.5,1000
0,2,2,45.8,1100
0,2,2,33.425,500
0,2,2,33.6,800
1,2,2,36.2,700
1,NA,NA,45.8,800
0,2,2,36,200
0,2,2,48.35,1700
0,2,2,48,1500
0,2,2,38.1,780
0,2,2,29.5,900
0,2,2,45.4,1400
0,2,2,39,1250
1,2,2,40.65,1200
0,2,2,28.2,1200
0,2,2,35.8,700
0,2,2,30,1400
0,2,2,52.3,140
0,2,2,42.41,800
0,2,2,70.955,700
1,2,NA,26,650
0,2,2,25.55,400
0,2,NA,24,550
0,2,NA,26,650
0,2,3,40,600
0,2,2,19,650
0,2,2,22.7,800
0,2,2,24,NA
0,2,2,39.45,1000
0,2,2,41.1,1100
0,2,2,38.25,500
0,2,2,31.45,500
0,2,2,52.95,NA
0,2,3,18,30
0,2,2,28.5,1200
0,2,3,25.76,800
0,2,2,16.025,1100
0,2,2,34.75,1100
0,2,2,22.5,NA
0,2,2,31.5,800
0,2,2,23,600
0,2,2,37,1200
0,2,2,42,1300
0,2,2,26.5,900
0,2,2,24,1200
0,2,2,28.15,50
0,2,2,30,1200
0,2,2,22,700
0,2,2,17,1200
0,2,2,26.5,1200
0,2,2,21.65,1000
0,2,3,26.7,800
1,2,2,22.05,100
1,2,2,17.1,80
0,2,2,18,200
1,2,2,19.75,50
0,2,2,17.5,800
0,2,2,22.45,1200
0,2,2,25.795,600
0,2,2,27,200
0,2,2,26.76,1000
0,2,NA,23.05,960
