Borda	Transecto	Distancia	LeafLitter	GrassLitter	Height	Canopy	GramineasNativas	GramineasExoticas
SP	1	0	26.19	5.79	1	26.92	26.92	8.18
SP	1	2	64.74	5.73	3.25	46.19	46.19	9.37
SP	1	5	73.89	10.61	3.58	47.24	47.24	4.07
SP	1	10	30.98	8.71	1.77	41.1	41.1	1.99
SP	1	15	15.56	9.43	6.65	65.68	65.68	2.79
SP	1	20	8.27	1.65	1.2	37.18	37.18	0
SP	1	30	1.03	21.34	2	34.66	34.66	0
SP	1	40	29.01	1.72	2.15	52.86	52.86	0.98
SP	1	50	148.33	2.2	4.25	67.77	67.77	0
SP	1	60	3.97	23.43	2.4	48.05	48.05	1.09
SP	1	80	37.9	1.28	2.8	58.53	58.53	0
SP	1	100	12.7	5.48	3.25	66.94	66.94	19.32
SP	1	120	53.64	2.48	3.88	77.83	77.83	6.13
SP	1	150	70.92	1.69	3.15	58.55	58.55	0
SP	1	180	35.18	2.34	2.5	54.8	54.8	1.01
SP	2	0	18.15	6.93	2	45.08	45.08	5.49
SP	2	2	39.51	2.37	3.05	53.47	53.47	12.07
SP	2	5	4.76	12.26	3.4	60.3	60.3	10.57
SP	2	10	0.49	0.75	2	44.35	44.35	45.95
SP	2	15	5.45	7.32	3.2	64.41	64.41	45.58
SP	2	20	98.37	3.66	5.15	35.9	35.9	1.21
SP	2	30	28.5	1.85	3.85	33.98	33.98	0
SP	2	40	108.14	0	4.65	52.33	52.33	0
SP	2	50	89.91	9.34	4.55	69.9	69.9	15.94
SP	2	60	95.29	1.83	2.7	53.93	53.93	9.25
SP	2	80	8.4	8.2	3.65	59.46	59.46	128.75
SP	2	100	51.7	1.76	3.57	66.34	66.34	0
SP	2	120	19.98	0.91	2.7	62.81	62.81	0.73
SP	2	150	32.4	14.02	2.4	61.25	61.25	0
SP	2	180	97.71	0.11	2.8	56.16	56.16	0
SP	3	0	25.21	6.24	2.33	61.35	61.35	37.39
SP	3	2	62.28	6.83	5.25	67.6	67.6	57.72
SP	3	5	99.75	2.14	4.5	78.21	78.21	0
SP	3	10	67.81	2.04	6.45	77.61	77.61	22.1
SP	3	15	21.94	1.68	3.85	64.09	64.09	37.24
SP	3	20	NA	NA	1	41.27	41.27	0
SP	3	30	97.56	5.13	5.45	67.49	67.49	0
SP	3	40	NA	NA	2.13	38.19	38.19	0
SP	3	50	36.62	6.79	3	69.49	69.49	33.31
SP	3	60	80.04	0.29	3.15	72.65	72.65	0
SP	3	80	123.68	0	4.65	85.16	85.16	0
SP	3	100	79.67	0.15	4.05	76.41	76.41	0
SP	3	120	38.96	2.37	3.22	57.02	57.02	0
SP	3	150	33.39	1.91	2.67	75.99	75.99	0
SP	3	180	91.74	0.62	3.18	70.9	70.9	0
SP	4	0	8.99	0.48	2.9	54.56	54.56	10.94
SP	4	2	33.55	1.7	4.25	71.33	71.33	14.14
SP	4	5	56.42	10.05	6.42	80.24	80.24	30.52
SP	4	10	19.42	3.03	3.46	74.58	74.58	10.37
SP	4	15	61.25	1.6	3.75	76.37	76.37	1.38
SP	4	20	128.24	3.58	5.48	86.96	86.96	0.88
SP	4	30	147.43	6.08	4.45	74.36	74.36	28.96
SP	4	40	37.86	1.05	1.73	39.07	39.07	33.15
SP	4	50	29.77	11.26	1.9	48.09	48.09	0
SP	4	60	3.78	6.2	3.61	48.68	48.68	0.26
SP	4	80	4.28	11.6	3.1	52.6	52.6	0.41
SP	4	100	98.59	1.24	4	83.03	83.03	0
SP	4	120	NA	NA	9.58	84.23	84.23	0
SP	4	150	23.49	1.87	2	55.75	55.75	0
SP	4	180	32.19	0.67	4.3	62.51	62.51	0
SP	5	0	8.89	1.9	3.42	48.22	48.22	11.76
SP	5	2	38.62	10.55	2.86	68.3	68.3	10.12
SP	5	5	36.7	10.53	4.04	56.61	56.61	0.85
SP	5	10	89.37	0	3.31	71.13	71.13	0
SP	5	15	0.15	3.97	3.97	57.8	57.8	0
SP	5	20	NA	NA	1.71	52.02	52.02	0
SP	5	30	33.14	0.85	5.56	78.43	78.43	0
SP	5	40	28.64	2.27	3.32	64.67	64.67	0
SP	5	50	3.52	0.93	1.95	47.91	47.91	0.94
SP	5	60	77.84	4.62	3.85	52.39	52.39	0.19
SP	5	80	80.98	2.07	4.55	80.76	80.76	0
SP	5	100	29.63	0.37	4.5	75.56	75.56	0
SP	5	120	0.1	5.2	3.12	42.75	42.75	11.09
SP	5	150	96.56	0	7.17	87.99	87.99	0
SP	5	180	55.53	1.88	2.27	70.2	70.2	0
