Plot	X	Y	Distance	Taxa_S	Menhinick	Margalef	Dominance_D	Simpson_1-D	Shannon_H	Evenness_e^H/S	Brillouin	Equitability_J	Fisher_alpha	Berger-Parker
1	1	1	25	30	2.601	5.93	0.087	0.913	2.831	0.5654	2.534	0.8323	12.06	0.188
2	1	2	75	44	3.355	8.354	0.07984	0.9202	3.146	0.5281	2.811	0.8313	19.11	0.2151
3	1	3	125	29	3.263	6.408	0.05624	0.9438	3.089	0.7571	2.641	0.9174	16.53	0.1139
4	1	4	175	32	2.785	6.349	0.07863	0.9214	2.947	0.5952	2.626	0.8503	13.43	0.1667
5	1	5	225	35	4.125	7.95	0.049	0.951	3.309	0.7817	2.753	0.9307	26.86	0.1389
6	1	6	275	24	3.795	6.235	0.055	0.945	3.046	0.876	2.41	0.9583	25.33	0.125
7	1	7	325	24	2.7	5.264	0.07643	0.9236	2.815	0.6954	2.437	0.8857	11.73	0.1519
8	2	1	25	37	3.021	7.185	0.06133	0.9387	3.136	0.6218	2.806	0.8684	15.7	0.1267
9	2	2	75	41	3.982	8.577	0.04361	0.9564	3.396	0.7277	2.926	0.9144	24.52	0.09434
10	2	3	125	36	3.928	7.899	0.04592	0.9541	3.32	0.7685	2.813	0.9265	23.87	0.1071
11	2	4	175	38	3.781	8.017	0.06264	0.9374	3.186	0.6366	2.74	0.8759	22.15	0.1584
12	2	5	225	34	3.85	7.575	0.04997	0.95	3.252	0.76	2.742	0.9222	22.96	0.1154
13	2	6	275	31	3.131	6.543	0.06914	0.9309	3.059	0.6875	2.658	0.8909	15.62	0.1837
14	2	7	325	31	3.1	6.514	0.0966	0.9034	2.838	0.5512	2.466	0.8265	15.39	0.22
15	3	1	25	37	2.623	6.801	0.093	0.907	2.839	0.4619	2.59	0.7861	13.39	0.201
16	3	2	75	39	3.637	8.009	0.07327	0.9267	3.181	0.6173	2.762	0.8683	20.78	0.2174
17	3	3	125	34	3.452	7.214	0.06132	0.9387	3.138	0.6783	2.71	0.8899	18.62	0.1546
18	3	4	175	32	3.184	6.717	0.05578	0.9442	3.141	0.7228	2.737	0.9063	16.15	0.1188
19	3	5	225	31	3.324	6.718	0.05589	0.9441	3.12	0.7303	2.683	0.9085	17.22	0.1034
20	3	6	275	33	3.479	7.111	0.05457	0.9454	3.176	0.726	2.729	0.9084	18.79	0.1111
21	3	7	325	32	2.885	6.442	0.05651	0.9435	3.138	0.7203	2.784	0.9053	14.05	0.1382
