Tamanho1	Tamanho2
3.1145749568	3.9378371656
7.0882184247	8.6830675702
8.441538	10.3292951074
19.9370967584	22.4970604459
31.7760315938	34.3879171685
17.1314188993	20.7588996975
2.8026933461	2.1822822041
21.0697194498	26.1652774906
6.9354584819	11.447652612
1.8547963027	2.2527638353
0.3554712088	0.4395535799
22.8346662026	26.3962387431
9.8876916383	10.3595054478
29.66943664	27.9093412916
7.2684673032	7.179938793
25.1309348129	25.5434604859
6.2607229197	4.2637334211
0.5811946409	0.5534174641
5.6377450965	4.5667078313
9.0693852918	8.9132269312
2.9157121418	2.7214651118
12.9115423281	12.7944062587
7.4698433923	6.7968443454
1.6400684448	1.8579520325
3.7392806559	5.3378243144
