Individuo	Fogo	AreaBasal	Altura
1	0	20.2946885422	340
2	0	9.6211275016	270
3	0	20.42820623	315
4	0	38.2665620161	320
5	0	37.3299747063	340
6	0	77.4245509477	350
7	0	0.9503317777	150
8	0	9.9038708404	200
9	1	1.2271846303	120
10	1	0.3377212103	38
11	0	10.1787601976	280
12	0	0.9503317777	145
13	0	1.5393804003	90
14	0	20.1317184233	260
15	1	0.4790928797	33
16	1	0.1963495408	25
17	0	18.5059442251	320
18	0	1.3273228961	107
19	1	1.3685562997	43
20	1	0.2827433388	29
21	1	0.0706858347	24
22	1	0.1021017612	16.5
23	1	0.0314159265	12
24	1	0.0706858347	3
25	1	21.5748875485	170
26	1	0.3553926689	39
27	0	13.2339590532	205
28	1	0.1197732199	14
29	1	0.0490873852	19
30	1	2.2167863162	112
31	1	2.4582962514	91
32	1	3.5814156251	110
33	1	0.5674501731	48
34	1	2.8981192229	77
35	1	0.2277654674	22
37	1	0.6283185307	72
38	1	1.4844025288	74
39	1	0.2670353756	50
40	1	1.5001104921	92
41	1	0.6911503838	73
42	1	2.316924582	84
43	0	0.138544236	0
44	0	1.6650441064	84
46	1	0.6675884389	66
47	1	0.4790928797	30
48	1	18.0720117398	139
49	1	4.5238934212	145
50	0	5.3092915846	112
51	1	1.9113449704	89
52	1	11.0426981774	140
53	0	22.5644892344	157
54	0	7.618362185	145
55	0	1.5393804003	100
56	1	12.6449104307	160
57	1	4.335397862	110
58	1	2.8588493148	60
59	0	1.3273228961	42
60	1	0.1021017612	20
61	1	3.3379421944	57
62	0	8.5529859994	215
63	0	0.2827433388	53
64	0	2.2069688391	94
65	0	7.359180791	130
66	0	5.4271013091	113
67	1	3.6599554414	113
68	0	10.7521008569	310
69	0	4.9087385212	100
70	NaN	0.0314159265	4
71	1	0.1021017612	31
73	0	1.1388273369	75
74	0	2.0106192983	106
75	0	2.8352873699	115
76	0	0.6361725124	11
77	0	0.9503317777	19
78	0	29.0204621375	183
79	0	11.136945957	92
80	0	3.7227872945	63
81	0	2.5211281045	82
82	0	5.6313048316	110
83	0	2.5446900494	75
84	0	2.8667032964	82
85	0	1.5393804003	15
86	0	20.7580734586	210
87	0	3.9662607252	87
1029	0	21.5199096771	164
88	1	60.0829594999	250
89	0	6.4245569766	215
90	0	10.5636052977	135
91	0	12.165817551	106
92	1	1.052433539	85
94	1	0.1256637061	14
96	1	5.8904862255	102
98	1	2.081305133	60
99	1	3.8013271108	116
102	1	2.0341812432	66
103	1	5.0658181539	65
104	1	6.4009950317	102
106	1	0.322013247	26
107	1	0.1256637061	20
108	1	0.3141592654	25
109	1	0.6754424205	65
110	1	0.8089601083	52
111	1	0.8953539063	35
112	1	0.7068583471	50
113	1	0.1256637061	33
114	1	0.0706858347	27
115	1	0.1413716694	13
116	1	0.0314159265	18
117	1	0.8325220532	40
118	1	1.1231193737	58
119	1	2.2069688391	86
120	1	5.3485614927	108
121	1	1.437278639	81
122	1	1.9006635554	72
123	1	3.0866147822	116
124	1	1.0210176124	50
125	1	1.6336281799	69
126	1	4.8459066682	135
127	1	1.4215706757	43
128	1	1.5393804003	92
129	0	3.4636059006	64
130	1	3.4636059006	108
131	1	0.2670353756	16
132	1	5.8040924275	109
133	1	4.4767695314	110
135	1	6.00829595	111
136	1	2.4504422698	93
137	1	1.3191547552	72
138	1	1.6964600329	26
139	1	1.3980087308	57
140	1	5.6470127948	112
141	1	7.7990037625	90
142	1	0.3534291735	78
143	1	0.730420292	67
144	1	8.0424771932	160
145	1	2.2619467106	72
146	1	12.8334059899	164
147	1	8.7728974851	114
148	1	2.9688050576	105
149	1	9.5347337036	120
150	1	6.094689748	107
151	1	0.8325220532	40
152	1	4.3196898987	88
153	1	0.4555309348	47
154	1	0.9346238144	81
155	1	0.0314159265	44
156	1	2.0970130963	112
157	1	0.4241150082	47
158	1	1.0917034471	77
159	1	1.6650441064	84
160	1	0.5890486225	56
161	1	1.437278639	71
162	1	1.2959069696	74
163	1	5.3407075111	110
164	1	3.0159289474	107
166	1	1.0210176124	121
167	1	2.6782077372	83
168	1	2.0498892065	89
169	1	0.322013247	62
170	1	1.3273228961	79
171	1	1.8378317024	106
172	1	0.4555309348	63
173	1	0.0314159265	13
175	1	0.6518804756	64
176	1	0.5183627878	34
177	1	0.1727875959	35
178	1	1.7907078125	69
179	1	1.3823007676	54
180	1	2.4425882882	101
181	1	0.2513274123	36
182	1	2.1991148575	108
184	1	0.2513274123	42
185	1	3.6992253496	123
186	1	9.7075212996	150
187	1	0.6990043654	62
188	1	0.322013247	41
189	1	0.0628318531	15
190	1	0.7618362185	77
191	1	0.9581857593	55
192	1	0.3848451001	48
193	1	1.1074114104	39
195	1	8.4823001647	130
196	1	1.2409290982	65
197	1	0.5105088062	40
198	1	1.4058627125	61
199	1	0.1256637061	48
200	1	4.2175881374	112
201	1	0.5262167695	33
202	1	0.5340707511	53
203	1	1.8064157758	92
204	1	5.6705747397	110
205	1	0.2670353756	32
206	1	4.1783182293	125
207	1	1.1388273369	81
208	1	1.6336281799	51
209	1	1.8378317024	80
210	1	1.20165919	84
211	1	1.9085175371	74
211	1	0.0785398163	30
212	1	0.1963495408	33
213	0	7.0685834706	104
214	NaN	0.0314159265	18
215	1	0.1021017612	38
216	1	1.8692476289	96
218	1	3.6756634047	56
219	1	3.3772121026	95
220	1	1.6179202166	63
221	1	0.1413716694	33
222	1	2.4661502331	60
223	1	1.2644910431	64
224	1	1.7671458676	93
225	1	3.3065262679	96
227	1	1.7200219778	48
228	1	0.5026548246	32
229	0	2.6703537556	40
230	1	0.2827433388	57
231	1	2.6546457923	66
232	0	3.3379421944	84
233	0	2.9138271862	33
234	1	0.6126105675	33
235	0	1.3273228961	92
236	0	3.4164820108	101
237	0	6.4952428113	75
238	0	1.5393804003	52
239	0	1.9163715187	60
240	0	5.2307517682	138
241	0	1.7671458676	89
242	0	0.7853981634	20
243	0	4.9087385212	70
244	1	0.1884955592	40
245	1	3.4950218271	96
246	0	1.20165919	68
247	1	0.6754424205	39
248	1	0.2748893572	38
249	1	1.4922565105	66
250	1	1.5865042901	72
251	1	2.8274333882	57
252	NaN	0.0706858347	18
254	1	0.9503317777	16
255	1	0.0392699082	19
256	1	0.5026548246	20
257	1	0.6675884389	58
258	0	0.9503317777	41
259	1	0.2827433388	22
260	1	2.0655971697	81
261	0	0.6361725124	83
262	0	2.0106192983	109
263	1	1.9163715187	48
264	0	5.2307517682	160
266	1	0.7853981634	50
267	0	0.2827433388	65
268	NaN	0.0314159265	15
269	1	3.4714598822	18
270	0	37.078647294	280
271	0	0.9503317777	65
272	1	15.8257729925	150
273	1	0.1570796327	43
274	0	3.4636059006	118
275	NaN	0.0314159265	20
276	0	0.3848451001	49
277	1	1.7907078125	84
279	1	0.408407045	49
280	1	0.2827433388	49
281	1	0.5105088062	45
282	NaN	0.0314159265	11
283	1	3.2201324699	50
284	0	4.9087385212	200
285	NaN	0.1963495408	18
286	1	5.3092915846	37
287	1	0.5969026042	48
288	0	7.0607294889	130
289	1	10.7521008569	210
290	0	23.2634935998	220
291	0	38.7436914004	190
292	0	7.9874993218	160
293	1	32.7903733218	240
294	0	5.128650007	115
295	1	16.1399322578	100
296	0	2.8981192229	50
297	1	3.8013271108	120
298	0	7.2570790298	99
299	1	0.1570796327	31
301	0	6.6130525358	140
302	0	8.6865036872	135
303	1	8.1053090463	135
304	1	2.0106192983	130
305	1	0.7853981634	70
306	0	0.9503317777	30
307	1	8.0424771932	120
308	1	3.1415926536	110
309	1	16.4933614313	145
310	1	9.1420346219	120
311	1	2.2698006922	83
312	1	7.767587836	149
313	1	10.964158361	136
316	1	3.1415926536	95
317	0	1.8221237391	80
318	1	23.9624979653	119
319	1	15.5273216904	150
321	1	20.4831841014	155
323	1	2.5132741229	113
324	0	0.2827433388	29
325	1	4.3039819354	98
326	0	9.5033177771	106
327	1	2.1834068942	102
329	0	8.6786497055	66
331	1	7.3670347727	125
332	1	5.8276543724	85
333	1	13.1997942331	115
334	1	0.4869468613	39
335	1	2.0498892065	85
336	1	1.6807520697	60
337	0	2.2698006922	133
338	1	7.2335170849	114
339	1	2.9373891311	57
340	1	0.3848451001	71
341	1	3.7384952578	89
342	1	1.4765485472	75
343	1	6.7073003154	112
344	1	0.2984513021	44
346	1	2.4347343065	67
347	1	3.4478979373	106
348	1	1.672898088	105
349	1	0.6675884389	61
350	1	2.1598449493	60
351	1	0.5026548246	60
352	1	1.1388273369	80
353	1	3.7467419385	64
354	1	1.8378317024	114
355	1	4.162610266	105
356	1	10.8227866916	160
357	1	4.8459066682	125
