Conc1	Conc2	Conc3	Conc4	Conc5
27.09	41.98	19.75	10.95	6.44
49.32	27.24	28.94	6.17	5.87
28.91	33.93	10.92	6.77	8.46
45.07	37.00	21.85	6.53	5.54
39.10	29.11	36.95	5.96	4.25
23.40	33.14	11.14	7.28	6.48
27.58	23.15	11.14	4.05	8.61
34.82	16.51	17.19	3.44	3.92
36.26	15.56	23.19	4.14	4.50
69.97	22.56	16.68	1.07	5.16
25.68	31.39	2.40	6.10	5.18
46.56	26.43	25.89	3.85	3.04
52.34	35.86	8.18	6.50	5.49
43.82	18.92	10.29	4.32	3.87
48.16	30.45	7.85	6.99	5.41
15.88	38.28	13.26	3.50	6.53
23.98	52.51	10.33	3.13	6.30
31.35	30.40	7.72	7.30	9.77
50.34	61.73	10.79	8.21	7.89
27.35	69.34	9.64	4.04	8.14
37.56	38.81	19.48	7.72	5.38
19.07	26.96	9.00	5.84	3.65
31.03	41.67	17.03	3.28	7.61
38.26	53.70	6.47	4.92	3.54
19.92	36.27	34.92	16.52	6.63
17.97	36.93	5.22	5.37	3.60
7.29	43.68	10.71	7.47	5.08
42.12	25.21	6.46	15.95	5.38
16.21	34.83	7.46	9.74	6.47
32.75	50.78	10.79	7.29	3.87
26.28	46.42	6.75	14.80	4.78
41.93	25.19	13.76	4.71	4.33
34.33	41.26	8.73	7.02	5.11
57.43	45.65	21.57	3.56	4.61
23.50	48.51	7.04	7.54	4.52
41.09	40.50	13.40	18.01	5.17
14.01	26.15	16.76	5.58	5.66
6.27	40.93	8.33	9.31	5.84
17.68	40.08	18.28	12.31	3.63
