Rodent_Pred	Forest cover 1500m	Forest cover 100m	Forest cover 500m	Frag_Area	EuDistMatrix	Edge_Dist	D.A.P.	N.Fruits
53	0.2926646389	0.5778449785	0.9381128231	179.93	200.71	25	19.4169030572	1603
272	0.2926646389	0.5778449785	0.9381128231	179.93	200.71	47	23.8732414638	835
2	0.2926646389	0.5778449785	0.9381128231	179.93	200.71	102	20.5309876589	751
98	0.2926646389	0.5778449785	0.9381128231	179.93	200.71	272	21.1676074312	3537
0	0.2926646389	0.5778449785	0.9381128231	19.46	67.44	322	20.6901426019	35
0	0.2926646389	0.5778449785	0.9381128231	19.46	67.44	8	21.0084524881	21
0	0.2926646389	0.5778449785	0.9381128231	19.46	67.44	20	15.597184423	247
2	0.2926646389	0.5778449785	0.9381128231	179.93	200.71	56	17.8253536263	474
0	0.2926646389	0.5778449785	0.9381128231	179.93	200.71	45	14.8809871791	98
0	0.2926646389	0.5778449785	0.9381128231	179.93	200.71	83	19.7352129434	1231
18	0.2926646389	0.5778449785	0.9381128231	179.93	200.71	255	18.6211283418	288
0	0.2926646389	0.5778449785	0.9381128231	179.93	200.71	154	17.9845085694	429
6	0.0846572823	0.1579500239	0.4859289444	49.62	89.47	64	20.2126777727	84
0	0.0846572823	0.1579500239	0.4859289444	49.62	89.47	77	20.0535228296	284
11	0.0846572823	0.1579500239	0.4859289444	49.62	89.47	63	19.2577481141	411
229	0.0846572823	0.1579500239	0.4859289444	49.62	89.47	15	20.5309876589	2177
2	0.0846572823	0.1579500239	0.4859289444	49.62	89.47	184	20.849297545	511
3	0.0846572823	0.1579500239	0.4859289444	49.62	89.47	63	19.4169030572	1026
96	0.0287189644	0.0525863441	0.2099834458	16.49	50	23	23.8732414638	1140
11	0.0287189644	0.0525863441	0.2099834458	16.49	50	24	25.7831007809	1880
95	0.0287189644	0.0525863441	0.2099834458	16.49	50	27	21.0084524881	921
36	0.0287189644	0.0525863441	0.2099834458	16.49	50	33	22.600001919	8170
6	0.2210087006	0.1869489098	0.4817267286	44.91	NA	20	22.7591568621	449
6	0.2210087006	0.1869489098	0.4817267286	44.91	NA	93	23.5549315776	507
41	0.2210087006	0.1869489098	0.4817267286	44.91	NA	44	29.9211293013	710
30	0.2210087006	0.1869489098	0.4817267286	44.91	NA	52	22.9183118052	1891
3	0.2210087006	0.1869489098	0.4817267286	44.91	NA	104	25.7831007809	1233
11	0.2210087006	0.1869489098	0.4817267286	44.91	NA	51	23.2366216914	1145
1	0.3409209875	0.6420181442	0.9443524768	332.62	155.66	314	18.7802832848	1538
2	0.3409209875	0.6420181442	0.9443524768	332.62	155.66	526	16.0746492523	777
1	0.3409209875	0.6420181442	0.9443524768	332.62	155.66	233	16.5521140816	619
19	0.3409209875	0.6420181442	0.9443524768	332.62	155.66	28	32.7859182769	739
2	0.3409209875	0.6420181442	0.9443524768	332.62	155.66	517	19.8943678865	645
119	0.3409209875	0.6420181442	0.9443524768	332.62	155.66	84	22.440846976	2240
1	0.3409209875	0.6420181442	0.9443524768	332.62	155.66	13	21.3267623743	1554
0	0.3409209875	0.6420181442	0.9443524768	332.62	155.66	11	19.5760580003	2135
2	0.3409209875	0.6420181442	0.9443524768	332.62	155.66	428	16.5521140816	772
217	0.0499681686	0.0836861372	0.3105819432	20.68	76.34	24	21.3267623743	2805
210	0.0499681686	0.0836861372	0.3105819432	20.68	76.34	10	26.7380304394	972
166	0.0499681686	0.0836861372	0.3105819432	20.68	76.34	15	16.2338041954	2767
20	0.0499681686	0.0836861372	0.3105819432	20.68	76.34	12	18.1436635125	2217
237	0.0499681686	0.0836861372	0.3105819432	3.73	19.39	3	21.6450722605	2044
25	0.0499681686	0.0836861372	0.3105819432	3.73	19.39	2	21.6450722605	2639
393	0.6165098677	0.7479866306	0.8867948555	652.52	NA	251	21.0084524881	2478
995	0.6165098677	0.7479866306	0.8867948555	652.52	NA	170	21.0084524881	4361
0	0.6165098677	0.7479866306	0.8867948555	652.52	NA	103	19.7352129434	723
36	0.6165098677	0.7479866306	0.8867948555	652.52	NA	14	20.0535228296	3716
