Segundos	Periodo	Ativa
40	noite	1
70	noite	1
440	noite	0
10	noite	1
94	noite	0
184	noite	1
2282	noite	0
480	noite	1
101	noite	1
94	noite	1
565	noite	1
213	noite	0
62	noite	1
45	noite	0
49	noite	1
86	noite	0
225	noite	1
3105	noite	0
255	noite	1
60	noite	1
69	noite	0
46	noite	1
1865	noite	0
270	noite	1
75	noite	1
45	noite	1
30	noite	1
151	noite	1
36	noite	0
10	noite	1
46	noite	1
13	noite	1
955	noite	0
199	noite	1
2093	noite	0
12	noite	1
15	noite	0
40	noite	1
2500	noite	0
170	noite	0
1365	noite	0
60	noite	1
3646	dia	0
14	dia	1
65	dia	0
2458	dia	0
52	dia	1
157	dia	0
31	dia	1
322	dia	0
909	dia	0
146	dia	1
465	dia	0
69	dia	0
501	dia	0
26	dia	1
191	dia	0
1437	dia	0
36	dia	0
190	dia	0
100	dia	0
60	dia	1
168	dia	0
342	dia	0
792	dia	0
80	dia	0
36	dia	0
17	dia	0
202	dia	0
223	dia	0
60	dia	1
2498	dia	1
50	dia	1
19	dia	1
17	dia	1
25	dia	1
11	dia	1
1640	dia	1
26	dia	0
54	dia	1
1140	dia	0
23	dia	1
102	dia	1
815	dia	0
15	dia	0
276	dia	0
10	dia	0
4112	dia	0
7	dia	0
347	dia	0
15	dia	0
5298	dia	0
808	dia	1
47	dia	0
54	dia	0
31	dia	0
150	dia	0
30	dia	1
4920	dia	0
59	dia	1
724	dia	0
12	dia	0
4005	dia	0
30	dia	1
37	dia	0
228	dia	1
2722	dia	0
2	dia	1
138	dia	1
141	dia	0
12	dia	1
24	dia	1
4	dia	0
72	dia	0
8	dia	0
18	dia	0
21	dia	1
33	dia	1
60	dia	0
588	dia	0
119	dia	0
1468	dia	0
225	dia	1
23	dia	0
40	dia	1
28	dia	0
84	dia	0
60	noite	1
80	noite	1
13	noite	1
42	noite	1
8	noite	1
52	noite	1
120	noite	1
20	noite	0
59	noite	1
18	noite	1
59	noite	1
29	noite	1
21	noite	1
14	noite	1
80	noite	1
13	noite	0
34	noite	1
3103	noite	0
186	noite	1
163	noite	0
18	noite	0
33	noite	1
715	noite	0
39	noite	1
11	noite	1
505	noite	0
3	noite	1
41	noite	0
1226	noite	0
58	noite	1
707	noite	0
50	noite	0
22	noite	0
39	noite	1
404	noite	0
616	noite	1
49	noite	1
47	noite	1
42	noite	1
4	noite	1
10	noite	1
104	noite	1
59	noite	1
49	noite	0
1470	noite	0
18	noite	1
49	noite	0
785	noite	0
57	noite	1
11	noite	0
383	noite	1
72	noite	1
65	noite	1
60	noite	1
970	noite	1
20	noite	0
40	noite	1
3940	noite	0
30	noite	1
71	noite	0
6	noite	1
13	noite	0
405	noite	1
240	noite	0
30	noite	0
490	noite	0
35	noite	1
60	noite	1
20	noite	1
30	noite	1
56	noite	1
104	noite	1
95	noite	1
50	noite	1
15	noite	1
140	noite	1
50	noite	1
13	noite	0
11	noite	1
21	noite	1
10	noite	1
120	noite	1
129	noite	1
19	noite	0
32	noite	1
13	noite	1
62	noite	1
40	noite	1
50	noite	1
60	noite	1
15	noite	1
12	noite	1
38	noite	1
17	noite	1
20	noite	1
23	noite	1
130	noite	0
1874	noite	0
