Dados de estrutura populacional de Miconia albicans em área de cerrado
Transect - número do transecto; Plot - número da parcela; x e y - coordenadas da parcela, FireSeverity - grau de queima; Nind - número de indivíduos
Type: Ad - apenas caules adultos; AdBr - caules adultos e rebrotas; Br - apenas rebrotas; Pl - plântulas; M - indivíduo morto
Transect	Plot	x	y	FireSeverity	Type	Nind
1	1	102.5	2.5	0.2	Ad	16
1	2	102.5	7.5	0.7321428571	Ad	4
1	3	102.5	12.5	0.5714285714	Ad	1
1	4	102.5	17.5	0.5238095238	Ad	5
1	5	102.5	22.5	0.3333333333	Ad	3
1	6	102.5	27.5	0.5	Ad	0
1	7	102.5	32.5	0	Ad	2
1	8	102.5	37.5	0	Ad	10
1	9	102.5	42.5	0	Ad	10
1	10	102.5	47.5	0.0434782609	Ad	4
1	11	102.5	52.5	1	Ad	0
1	12	102.5	57.5	0.8958333333	Ad	0
1	13	102.5	62.5	0.9	Ad	4
1	14	102.5	67.5	1	Ad	1
1	15	102.5	72.5	NA	Ad	0
1	16	102.5	77.5	1	Ad	0
1	17	102.5	82.5	1	Ad	0
1	18	102.5	87.5	1	Ad	0
1	19	102.5	92.5	1	Ad	0
1	20	102.5	97.5	1	Ad	0
2	1	77.5	2.5	1	Ad	0
2	2	77.5	7.5	1	Ad	0
2	3	77.5	12.5	0.380952381	Ad	6
2	4	77.5	17.5	0.2537313433	Ad	21
2	5	77.5	22.5	0.4285714286	Ad	7
2	6	77.5	27.5	0.4285714286	Ad	3
2	7	77.5	32.5	0.1333333333	Ad	5
2	8	77.5	37.5	0.4782608696	Ad	5
2	9	77.5	42.5	0.1428571429	Ad	6
2	10	77.5	47.5	0.7894736842	Ad	6
2	11	77.5	52.5	0.5454545455	Ad	11
2	12	77.5	57.5	1	Ad	0
2	13	77.5	62.5	NA	Ad	0
2	14	77.5	67.5	1	Ad	0
2	15	77.5	72.5	0.9444444444	Ad	1
2	16	77.5	77.5	0.96875	Ad	0
2	17	77.5	82.5	0.75	Ad	0
2	18	77.5	87.5	1	Ad	0
2	19	77.5	92.5	1	Ad	0
2	20	77.5	97.5	0.9722222222	Ad	0
3	1	52.5	2.5	1	Ad	0
3	2	52.5	7.5	1	Ad	0
3	3	52.5	12.5	1	Ad	0
3	4	52.5	17.5	1	Ad	0
3	5	52.5	22.5	1	Ad	0
3	6	52.5	27.5	1	Ad	0
3	7	52.5	32.5	1	Ad	1
3	8	52.5	37.5	1	Ad	1
3	9	52.5	42.5	0.2682926829	Ad	10
3	10	52.5	47.5	0.625	Ad	1
3	11	52.5	52.5	1	Ad	0
3	12	52.5	57.5	1	Ad	0
3	13	52.5	62.5	NA	Ad	0
3	14	52.5	67.5	1	Ad	0
3	15	52.5	72.5	1	Ad	0
3	13	52.5	77.5	NA	Ad	0
3	17	52.5	82.5	1	Ad	0
3	18	52.5	87.5	1	Ad	0
3	19	52.5	92.5	1	Ad	0
3	20	52.5	97.5	1	Ad	0
4	1	27.5	2.5	0.8461538462	Ad	0
4	2	27.5	7.5	1	Ad	0
4	3	27.5	12.5	0.7833333333	Ad	5
4	4	27.5	17.5	0.9333333333	Ad	6
4	5	27.5	22.5	1	Ad	0
4	6	27.5	27.5	0.2222222222	Ad	3
4	7	27.5	32.5	0.2419354839	Ad	13
4	8	27.5	37.5	1	Ad	2
4	9	27.5	42.5	1	Ad	0
4	10	27.5	47.5	1	Ad	0
4	11	27.5	52.5	0.8888888889	Ad	1
4	12	27.5	57.5	0.8888888889	Ad	1
4	13	27.5	62.5	0	Ad	3
4	14	27.5	67.5	0.5806451613	Ad	3
4	15	27.5	72.5	1	Ad	0
4	16	27.5	77.5	1	Ad	0
4	17	27.5	82.5	1	Ad	0
4	18	27.5	87.5	0.6896551724	Ad	2
4	19	27.5	92.5	1	Ad	0
4	20	27.5	97.5	1	Ad	0
5	1	2.5	2.5	1	Ad	0
5	2	2.5	7.5	0.7647058824	Ad	5
5	3	2.5	12.5	0.328125	Ad	19
5	4	2.5	17.5	0.8666666667	Ad	4
5	5	2.5	22.5	0.8666666667	Ad	5
5	6	2.5	27.5	1	Ad	0
5	7	2.5	32.5	1	Ad	0
5	8	2.5	37.5	1	Ad	0
5	9	2.5	42.5	1	Ad	0
5	10	2.5	47.5	0.6170212766	Ad	12
5	11	2.5	52.5	0.9230769231	Ad	2
5	12	2.5	57.5	1	Ad	0
5	13	2.5	62.5	0.8709677419	Ad	3
5	14	2.5	67.5	1	Ad	2
5	15	2.5	72.5	1	Ad	0
5	16	2.5	77.5	0.6	Ad	1
5	17	2.5	82.5	1	Ad	0
5	18	2.5	87.5	1	Ad	0
5	19	2.5	92.5	1	Ad	0
5	20	2.5	97.5	1	Ad	0
1	1	102.5	2.5	0.2	AdBr	0
1	2	102.5	7.5	0.7321428571	AdBr	0
1	3	102.5	12.5	0.5714285714	AdBr	0
1	4	102.5	17.5	0.5238095238	AdBr	0
1	5	102.5	22.5	0.3333333333	AdBr	1
1	6	102.5	27.5	0.5	AdBr	1
1	7	102.5	32.5	0	AdBr	0
1	8	102.5	37.5	0	AdBr	1
1	9	102.5	42.5	0	AdBr	1
1	10	102.5	47.5	0.0434782609	AdBr	0
1	11	102.5	52.5	1	AdBr	0
1	12	102.5	57.5	0.8958333333	AdBr	1
1	13	102.5	62.5	0.9	AdBr	1
1	14	102.5	67.5	1	AdBr	0
1	14	102.5	72.5	NA	AdBr	0
1	16	102.5	77.5	1	AdBr	0
1	17	102.5	82.5	1	AdBr	0
1	18	102.5	87.5	1	AdBr	0
1	19	102.5	92.5	1	AdBr	0
1	20	102.5	97.5	1	AdBr	0
2	1	77.5	2.5	1	AdBr	0
2	2	77.5	7.5	1	AdBr	0
2	3	77.5	12.5	0.380952381	AdBr	3
2	4	77.5	17.5	0.2537313433	AdBr	5
2	5	77.5	22.5	0.4285714286	AdBr	0
2	6	77.5	27.5	0.4285714286	AdBr	2
2	7	77.5	32.5	0.1333333333	AdBr	0
2	8	77.5	37.5	0.4782608696	AdBr	2
2	9	77.5	42.5	0.1428571429	AdBr	0
2	10	77.5	47.5	0.7894736842	AdBr	0
2	11	77.5	52.5	0.5454545455	AdBr	0
2	12	77.5	57.5	1	AdBr	0
2	13	77.5	62.5	NA	AdBr	0
2	14	77.5	67.5	1	AdBr	0
2	15	77.5	72.5	0.9444444444	AdBr	0
2	16	77.5	77.5	0.96875	AdBr	0
2	17	77.5	82.5	0.75	AdBr	0
2	18	77.5	87.5	1	AdBr	0
2	19	77.5	92.5	1	AdBr	0
2	20	77.5	97.5	0.9722222222	AdBr	2
3	1	52.5	2.5	1	AdBr	0
3	2	52.5	7.5	1	AdBr	0
3	3	52.5	12.5	1	AdBr	0
3	4	52.5	17.5	1	AdBr	0
3	5	52.5	22.5	1	AdBr	0
3	6	52.5	27.5	1	AdBr	2
3	7	52.5	32.5	1	AdBr	2
3	8	52.5	37.5	1	AdBr	1
3	9	52.5	42.5	0.2682926829	AdBr	2
3	10	52.5	47.5	0.625	AdBr	0
3	11	52.5	52.5	1	AdBr	0
3	12	52.5	57.5	1	AdBr	0
3	13	52.5	62.5	NA	AdBr	0
3	14	52.5	67.5	1	AdBr	0
3	15	52.5	72.5	1	AdBr	0
3	16	52.5	77.5	NA	AdBr	0
3	17	52.5	82.5	1	AdBr	0
3	18	52.5	87.5	1	AdBr	0
3	19	52.5	92.5	1	AdBr	0
3	20	52.5	97.5	1	AdBr	1
4	1	27.5	2.5	0.8461538462	AdBr	1
4	2	27.5	7.5	1	AdBr	0
4	3	27.5	12.5	0.7833333333	AdBr	1
4	4	27.5	17.5	0.9333333333	AdBr	1
4	5	27.5	22.5	1	AdBr	0
4	6	27.5	27.5	0.2222222222	AdBr	1
4	7	27.5	32.5	0.2419354839	AdBr	4
4	8	27.5	37.5	1	AdBr	1
4	9	27.5	42.5	1	AdBr	0
4	10	27.5	47.5	1	AdBr	0
4	11	27.5	52.5	0.8888888889	AdBr	0
4	12	27.5	57.5	0.8888888889	AdBr	0
4	13	27.5	62.5	0	AdBr	0
4	14	27.5	67.5	0.5806451613	AdBr	3
4	15	27.5	72.5	1	AdBr	0
4	16	27.5	77.5	1	AdBr	0
4	17	27.5	82.5	1	AdBr	2
4	18	27.5	87.5	0.6896551724	AdBr	0
4	19	27.5	92.5	1	AdBr	0
4	20	27.5	97.5	1	AdBr	0
5	1	2.5	2.5	1	AdBr	0
5	2	2.5	7.5	0.7647058824	AdBr	0
5	3	2.5	12.5	0.328125	AdBr	6
5	4	2.5	17.5	0.8666666667	AdBr	0
5	5	2.5	22.5	0.8666666667	AdBr	0
5	6	2.5	27.5	1	AdBr	0
5	7	2.5	32.5	1	AdBr	0
5	8	2.5	37.5	1	AdBr	1
5	9	2.5	42.5	1	AdBr	0
5	10	2.5	47.5	0.6170212766	AdBr	3
5	11	2.5	52.5	0.9230769231	AdBr	1
5	12	2.5	57.5	1	AdBr	0
5	13	2.5	62.5	0.8709677419	AdBr	0
5	14	2.5	67.5	1	AdBr	1
5	15	2.5	72.5	1	AdBr	0
5	16	2.5	77.5	0.6	AdBr	0
5	17	2.5	82.5	1	AdBr	0
5	18	2.5	87.5	1	AdBr	0
5	19	2.5	92.5	1	AdBr	0
5	20	2.5	97.5	1	AdBr	0
1	1	102.5	2.5	0.2	Br	8
1	2	102.5	7.5	0.7321428571	Br	15
1	3	102.5	12.5	0.5714285714	Br	2
1	4	102.5	17.5	0.5238095238	Br	1
1	5	102.5	22.5	0.3333333333	Br	2
1	6	102.5	27.5	0.5	Br	0
1	7	102.5	32.5	0	Br	0
1	8	102.5	37.5	0	Br	1
1	9	102.5	42.5	0	Br	0
1	10	102.5	47.5	0.0434782609	Br	0
1	11	102.5	52.5	1	Br	8
1	12	102.5	57.5	0.8958333333	Br	19
1	13	102.5	62.5	0.9	Br	8
1	14	102.5	67.5	1	Br	8
1	15	102.5	72.5	NA	Br	0
1	16	102.5	77.5	1	Br	3
1	17	102.5	82.5	1	Br	9
1	18	102.5	87.5	1	Br	18
1	19	102.5	92.5	1	Br	21
1	20	102.5	97.5	1	Br	12
2	1	77.5	2.5	1	Br	5
2	2	77.5	7.5	1	Br	3
2	3	77.5	12.5	0.380952381	Br	3
2	4	77.5	17.5	0.2537313433	Br	4
2	5	77.5	22.5	0.4285714286	Br	2
2	6	77.5	27.5	0.4285714286	Br	3
2	7	77.5	32.5	0.1333333333	Br	1
2	8	77.5	37.5	0.4782608696	Br	0
