Caule	Fogo	H	DAS
1	0	175	1.2
2	0	340	4.2
3	0	280	2.6
4	0	270	3.5
5	0	315	5.1
6	0	310	3.3
7	0	320	5.85
8	0	150	1.9
9	0	330	3.9
10	0	320	4.4
11	0	340	3.6
12	0	350	5.6
13	0	350	4.4
14	0	335	4.8
15	0	310	3.9
16	0	320	3.1
17	0	150	1.1
18	0	200	3
19	0	185	1.9
20	0	120	1.25
21	1	38	0.5
22	1	33	0.3
23	1	16	0.3
24	0	280	3.6
25	0	145	1.1
26	0	90	1.4
27	0	260	4.15
28	0	200	2.9
29	1	28	0.6
30	1	33	0.5
31	1	25	0.5
32	0	225	2.05
33	0	320	4.4
34	0	107	1.3
35	1	43	0.8
36	1	25	1.05
37	1	29	0.6
38	1	24	0.3
39	1	16.5	0.3
40	1	9	0.2
41	1	12	0.2
42	1	3	0.3
43	0	110	2.1
44	0	70	2.1
45	0	170	2.9
46	0	165	3.2
47	1	39	0.45
48	1	33	0.5
49	0	205	2.4
50	0	92	2.4
51	0	15	0.7
52	0	155	2.2
53	1	9	0.25
54	1	14	0.3
55	1	19	0.25
56	1	37	0.6
57	1	59	0.5
58	1	62	0.5
59	1	59	0.5
60	1	89	0.9
61	1	112	0.95
62	1	91	0.9
63	1	89	0.8
64	1	23	0.4
65	1	38	0.5
66	1	38	0.4
67	1	23	0.5
68	1	25	0.3
69	1	28	0.6
70	1	19	0.3
71	1	27	0.4
72	1	25	0.4
73	1	110	1
74	1	47	0.7
75	1	68	0.6
76	1	94	0.7
77	1	42	0.4
78	1	57	0.6
79	1	74	0.5
80	1	21	0.5
81	1	34	0.3
82	1	72	0.6
83	1	17	0.3
84	1	50	0.5
85	1	32	0.5
86	1	19	0.4
87	1	48	0.5
88	1	47	0.6
89	1	26	0.3
90	1	25	0.15
91	1	47	0.7
92	1	77	0.9
93	1	58	0.6
94	1	37	0.3
95	1	64	1.1
96	1	20	0.4
97	1	20	0.4
98	1	53	0.5
99	1	37	0.4
100	1	22	0.4
101	1	20	0.3
102	1	4	0.2
103	1	42	0.4
104	1	72	0.8
105	1	56	0.6
106	1	74	1.1
107	1	29	0.4
108	1	45	0.4
109	1	25	0.3
110	1	42	0.4
111	1	50	0.3
112	1	50	0.7
113	1	20	0.3
114	1	15	0.2
115	1	92	0.8
116	1	16	0.3
117	1	16	0.4
118	1	63	0.6
119	1	12	0.2
120	1	63	0.6
121	1	73	0.6
122	1	24	0.4
123	1	83	0.8
124	1	34	0.6
125	1	67	0.8
126	1	37	0.5
127	1	84	0.8
128	1	22	0.2
129	1	11	0.3
130	1	16	0.2
131	1	35	0.5
132	1	NaN	0.42
133	0	84	1.4
134	0	15	0.4
135	1	66	0.6
136	1	33	0.6
137	1	15	0.3
138	1	11	0.2
139	1	30	0.4
140	1	17	0.4
141	1	22	0.2
142	1	10	0.4
143	1	29	0.3
144	1	125	2.9
145	1	139	2.6
146	1	94	2.8
147	1	145	2.4
148	0	112	2.6
149	1	53	0.72
150	1	39	0.95
151	1	61	0.74
152	1	18	0.45
153	1	29	0.51
154	1	89	0.05
155	0	100	2
156	0	140	1.7
157	1	77	1.6
158	1	80	1.1
159	0	68	1.4
160	1	77	1.2
161	0	157	3.2
162	0	120	4.3
163	0	145	2.3
164	0	137	2.1
165	0	100	1.4
166	0	25	2
167	0	45	1.2
168	0	160	2.5
169	0	115	2.1
170	1	41	0.9
171	1	22	0.2
172	1	29	0.7
173	1	47	0.9
174	1	110	1.6
175	1	40	0.9
176	1	60	0.9
177	1	32	1.1
178	0	54	1.1
179	1	40	0.5
180	1	44	0.4
181	1	42	1.3
182	1	11	0.2
183	1	20	0.3
184	1	57	1.9
185	1	53	0.8
186	0	215	3.3
187	0	53	0.6
188	0	30	0.5
189	0	94	1.6
190	0	130	1.9
191	0	110	2.4
192	0	113	2.1
193	0	80	1.5
194	1	46	0.5
195	0	113	2.1
196	1	31	0.5
197	0	310	3.7
198	0	100	2.5
199	1	4	0.2
200	1	27	0.2
201	1	31	0.3
202	0	59	0.9
203	0	75	0.8
204	0	106	1.6
205	0	115	1.9
206	1	11	0.9
207	0	19	1.1
208	0	55	0.9
209	0	156	2.2
210	1	107	1
211	0	165	2.4
212	0	90	1.8
213	0	38	1.1
214	0	30	1.5
215	0	157	2.2
216	0	183	3
217	0	115	1.6
218	0	93	1.2
219	1	46	1.2
220	1	26	1.3
221	1	16	0.4
222	0	10	1.3
223	0	9	1.2
224	0	40	0.9
225	0	164	2.1
226	0	55	2.9
227	0	23	0.4
228	0	10	0.3
229	0	52	0.9
230	1	146	2.3
231	1	49	1
232	0	77	1.7
233	0	61	2
234	1	92	2.7
235	0	63	1.9
236	0	48	0.7
237	0	36	0.8
238	0	73	1
239	0	75	1
240	0	82	1.1
241	0	110	1.7
242	0	110	1.4
243	0	47	0.6
244	1	30	1.4
245	1	75	1.8
246	1	78	1.2
247	0	82	1.1
248	0	60	1
249	0	15	1.4
250	0	210	4.5
251	0	50	0.9
252	0	118	1.5
253	0	90	0.9
254	0	65	0.6
255	0	72	0.7
256	0	80	1.1
257	1	30	0.5
258	0	77	1.2
259	0	87	1.9
260	0	135	2.4
261	0	250	2.9
262	0	220	2.8
263	0	220	3.3
264	0	230	3.4
265	0	190	2.2
266	0	230	2.8
267	0	240	4.4
268	0	215	2.3
269	0	180	1.7
270	0	135	1.8
271	0	56	2.1
272	0	116	1.8
273	0	70	1.6
274	1	40	1.8
275	1	45	2.1
276	0	106	2.8
277	1	85	0.7
278	1	72	0.7
279	1	54	0.6
280	1	14	0.4
281	1	62	0.7
282	1	72	0.7
283	1	59	0.9
284	1	87	0.9
285	1	102	1
286	1	51	1
287	1	43	0.5
288	1	101	0.9
289	1	39	0.4
290	1	8	0.3
291	1	75	0.7
292	1	77	0.6
293	1	71	0.7
294	1	27	0.4
295	1	28	0.3
296	1	31	0.4
297	1	60	0.8
298	1	25	0.5
299	1	30	0.5
300	1	26	0.4
301	1	28	0.5
302	1	55	0.7
303	1	39	0.6
304	1	11	0.3
305	1	23	0.5
306	1	38	0.6
307	1	78	1
308	1	66	0.4
309	1	86	0.7
310	1	107	0.9
311	1	116	1
312	1	50	0.4
313	1	77	0.6
314	1	40	0.5
315	1	30	0.7
316	1	19	0.4
317	1	25	0.4
318	1	40	0.7
319	1	7	0.5
320	1	22	0.3
321	1	24	0.3
322	1	65	0.9
323	1	21	0.6
324	1	21	0.5
325	1	66	0.6
326	1	45	0.6
327	1	8	0.3
328	1	65	0.6
329	1	62	0.6
330	1	42	0.6
331	1	6	0.4
332	1	14	0.4
333	1	7	0.2
334	1	5	0.3
335	1	49	2.2
336	1	6	0.4
337	1	47	0.7
338	1	31	0.4
339	1	65	0.8
340	1	16	0.4
341	1	25	0.7
342	1	86	0.9
343	1	4	0.4
344	1	9	0.4
345	1	63	0.5
346	1	65	0.6
347	1	12	0.5
348	1	32	0.5
349	1	84	0.9
350	1	24	0.4
351	1	70	0.6
352	1	23	0.3
353	1	50	0.4
354	1	15	0.5
355	1	35	0.4
356	1	87	0.4
357	1	40	0.5
358	1	34	0.6
359	1	72	0.7
360	1	84	0.7
361	1	18	0.5
362	1	12	0.3
363	1	102	0.8
364	1	35	0.3
365	1	69	0.5
366	1	68	0.6
367	1	21	0.4
368	1	26	0.5
369	1	20	0.4
370	1	25	0.6
371	1	14	0.2
372	1	32	0.5
373	1	38	0.4
374	1	65	0.5
375	1	21	0.4
376	1	4	0.2
377	1	52	0.7
378	1	28	0.2
379	1	30	0.5
380	1	27	0.5
381	1	4	0.8
382	1	29	0.5
383	1	35	0.5
384	1	24	0.4
385	1	50	0.5
386	1	28	0.3
387	1	29	0.6
388	1	6	0.2
389	1	33	0.4
390	1	27	0.3
391	1	13	0.3
392	1	1	0.3
393	1	18	0.2
394	1	40	0.9
395	1	21	0.5
396	1	50	0.6
397	1	58	0.5
398	1	15	0.4
399	1	17	0.3
400	1	35	0.5
401	1	13	0.4
402	1	18	0.4
403	1	86	0.7
404	1	27	0.4
405	1	82	1
406	1	20	0.4
407	1	31	0.6
408	1	85	0.8
409	1	108	1.1
410	1	53	0.6
411	1	98	1.1
412	1	70	0.9
413	1	41	0.6
414	1	89	0.9
415	1	80	1.4
416	1	33	0.3
417	1	26	0.9
418	1	50	0.5
419	1	59	0.6
420	1	44	0.5
421	1	81	0.4
422	1	72	0.5
423	1	40	0.5
424	1	50	0.3
425	1	45	0.5
426	1	18	0.3
427	1	50	0.7
428	1	25	0.4
429	1	14	0.5
430	1	7	0.3
431	1	25	0.4
432	1	12	0.5
433	1	3	0.3
434	1	52	0.5
435	1	24	0.3
436	1	26	0.4
437	1	23	0.3
438	1	70	0.6
439	1	22	0.3
440	1	55	0.6
441	1	116	0.9
442	1	49	0.6
443	1	32	0.4
444	1	95	0.8
445	1	25	0.4
446	1	54	0.6
447	1	12	0.2
448	1	48	0.8
449	1	9	0.3
450	1	3	0.4
451	1	36	0.5
452	1	50	0.4
453	1	62	0.8
454	1	69	1.2
455	0	135	1.9
456	1	113	1.6
457	1	43	0.9
458	1	22.5	1
459	1	92	1.4
460	0	55	1.4
461	0	8	0.7
462	0	64	1.4
463	1	108	1.2
464	1	22	0.5
465	1	76	0.7
466	1	31	0.6
467	1	84	0.7
468	1	36	0.3
469	1	47	0.6
470	1	50	0.5
471	1	72	0.6
472	1	50	0.4
473	1	39	0.4
474	1	15	0.4
475	1	8	0.3
476	1	16	0.3
477	1	65	0.6
478	1	22	0.5
479	1	41	0.5
480	1	56	0.7
481	1	15	0.3
482	1	60	0.5
483	1	49	0.6
484	1	73	0.5
485	1	88	0.9
486	1	89	0.6
487	1	108	0.8
488	1	48	0.4
489	1	14	0.3
490	1	84	0.8
491	1	76	0.7
492	1	109	1
493	1	70	0.7
494	1	24	0.4
495	1	9	0.4
496	1	6	0.3
497	1	110	1.2
498	1	15	0.3
499	1	86	0.6
500	1	76	1
501	1	102	1.1
502	1	99	1.2
503	1	20	0.4
504	1	53	0.4
505	1	77	0.9
506	1	62	0.4
507	1	21	0.5
508	1	111	0.8
509	1	92	0.6
510	1	31	0.4
511	1	17	0.3
512	1	41	0.4
513	1	83	0.7
514	1	46	0.6
515	1	80	1.6
516	1	26	0.7
517	1	32	0.4
518	1	44	0.4
519	1	77	0.8
520	1	93	0.9
521	1	32	0.4
522	1	90	1
523	1	65	0.9
524	1	20	0.5
525	1	9	0.3
526	1	61	0.6
527	1	28	0.4
528	1	63	0.6
529	1	21	0.14
530	1	12	0.2
531	1	72	0.8
532	1	11	0.1
533	1	21	0.3
534	1	26	0.8
535	1	13	1
536	1	23	0.6
537	1	4	0.4
538	1	31	0.4
539	1	26	0.4
540	1	32	0.3
541	1	30	0.6
542	1	36	0.4
543	1	57	0.6
544	1	10	0.2
545	1	35	0.3
546	1	21	0.4
547	1	42	0.4
548	1	11	0.2
549	1	58	1.1
550	1	112	1.1
551	1	36	0.4
552	1	66	1.2
553	1	26	0.5
554	1	27	0.5
555	1	21	0.5
556	1	84	1
557	1	30	0.9
558	1	32	0.5
559	1	42	0.6
