LandscapeID	ForestCover3	ForestCover_Dist	Frag_Area	Edge_Dist	D.A.P.	N.Fruit_Branches	N.Ripe_Branches	N.Flower_Branches	N.Fruits	Invertebrate_Pred
9	0.9381128231	0.0403138528	179.93	25	19.4169030572	3	0	1	1603	1266
9	0.9381128231	0.0403138528	179.93	47	23.8732414638	1	0	1	835	314
9	0.9381128231	0.0403138528	179.93	102	20.5309876589	0	0	0	751	352
9	0.9381128231	0.0403138528	179.93	272	21.1676074312	0	0	1	3537	1565
9	0.9381128231	0.0403138528	179.93	322	20.6901426019	0	0	0	35	12
9	0.9381128231	0.0403138528	19.46	8	21.0084524881	1	0	0	21	10
9	0.9381128231	0.0403138528	19.46	20	15.597184423	2	0	0	247	169
9	0.9381128231	0.0403138528	19.46	56	17.8253536263	2	0	0	474	296
9	0.9381128231	0.0403138528	179.93	45	14.8809871791	0	0	0	98	43
9	0.9381128231	0.0403138528	179.93	83	19.7352129434	3	0	0	1231	548
9	0.9381128231	0.0403138528	179.93	255	18.6211283418	2	0	0	288	49
9	0.9381128231	0.0403138528	179.93	154	17.9845085694	1	0	0	429	157
7	0.4859289444	0.0162655971	49.62	64	20.2126777727	3	0	0	84	32
7	0.4859289444	0.0162655971	49.62	77	20.0535228296	0	0	0	284	129
7	0.4859289444	0.0162655971	49.62	63	19.2577481141	2	0	0	411	60
7	0.4859289444	0.0162655971	49.62	15	20.5309876589	NA	0	0	2177	591
7	0.4859289444	0.0162655971	49.62	184	20.849297545	2	0	0	511	128
7	0.4859289444	0.0162655971	49.62	63	19.4169030572	0	0	0	1026	346
4	0.2099834458	0.0060160428	16.49	23	23.8732414638	1	0	0	1140	931
4	0.2099834458	0.0060160428	16.49	24	25.7831007809	1	0	0	1880	1818
4	0.2099834458	0.0060160428	16.49	27	21.0084524881	1	0	0	921	380
4	0.2099834458	0.0060160428	16.49	33	22.600001919	3	0	1	8170	7721
8	0.4817267286	0.1551438757	44.91	20	22.7591568621	2	0	0	449	185
8	0.4817267286	0.1551438757	44.91	93	23.5549315776	2	0	0	507	312
8	0.4817267286	0.1551438757	44.91	44	29.9211293013	0	0	0	710	456
8	0.4817267286	0.1551438757	44.91	52	22.9183118052	2	0	0	1891	296
8	0.4817267286	0.1551438757	44.91	104	25.7831007809	2	0	0	1233	501
8	0.4817267286	0.1551438757	44.91	51	23.2366216914	1	0	0	1145	709
10	0.9443524768	0.0625318309	332.62	314	18.7802832848	2	0	0	1538	423
10	0.9443524768	0.0625318309	332.62	526	16.0746492523	0	0	1	777	45
10	0.9443524768	0.0625318309	332.62	233	16.5521140816	2	0	0	619	443
10	0.9443524768	0.0625318309	332.62	28	32.7859182769	3	0	0	739	450
10	0.9443524768	0.0625318309	332.62	517	19.8943678865	5	0	0	645	17
10	0.9443524768	0.0625318309	332.62	84	22.440846976	2	0	0	2240	327
10	0.9443524768	0.0625318309	332.62	13	21.3267623743	3	1	0	1554	218
10	0.9443524768	0.0625318309	332.62	11	19.5760580003	3	0	0	2135	567
10	0.9443524768	0.0625318309	332.62	428	16.5521140816	0	0	0	772	25
5	0.3105819432	0.0134803922	20.68	24	21.3267623743	1	0	0	2805	2226
5	0.3105819432	0.0134803922	20.68	10	26.7380304394	2	1	0	972	651
5	0.3105819432	0.0134803922	20.68	15	16.2338041954	2	1	0	2767	2044
5	0.3105819432	0.0134803922	20.68	12	18.1436635125	3	1	0	2217	1868
5	0.3105819432	0.0134803922	3.73	3	21.6450722605	0	0	0	2044	1540
5	0.3105819432	0.0134803922	3.73	2	21.6450722605	2	0	1	2639	2286
12	0.8867948555	0.3195823784	652.52	251	21.0084524881	2	0	0	2478	660
12	0.8867948555	0.3195823784	652.52	170	21.0084524881	2	1	0	4361	1328
12	0.8867948555	0.3195823784	652.52	103	19.7352129434	1	1	0	723	343
12	0.8867948555	0.3195823784	652.52	14	20.0535228296	3	1	0	3716	2470
12	0.8867948555	0.3195823784	652.52	354	21.4859173174	0	0	0	1701	537
12	0.8867948555	0.3195823784	652.52	166	22.1225370898	2	1	0	524	202
12	0.8867948555	0.3195823784	652.52	15	18.4619733987	5	2	0	6137	3467
12	0.8867948555	0.3195823784	652.52	48	22.2816920329	2	1	0	5499	3481
6	0.2506048644	0.015215177	37.39	15	18.7802832848	0	0	0	568	37
6	0.2506048644	0.015215177	37.39	47	19.5760580003	0	0	0	284	93
6	0.2506048644	0.015215177	37.39	14	18.1436635125	0	0	0	3186	84
6	0.2506048644	0.015215177	37.39	19	28.0112699842	1	0	0	322	17
6	0.2506048644	0.015215177	37.39	12	24.9873260654	0	0	0	1120	67
6	0.2506048644	0.015215177	37.39	6	24.0323964069	1	0	0	1897	257
11	0.9624347383	0.1145276292	280.64	11	19.5760580003	2	0	0	2098	167
11	0.9624347383	0.1145276292	280.64	18	26.1014106671	3	0	0	1087	34
11	0.9624347383	0.1145276292	280.64	42	20.2126777727	1	0	1	689	61
11	0.9624347383	0.1145276292	280.64	102	18.1436635125	0	0	1	485	15
11	0.9624347383	0.1145276292	280.64	173	20.0535228296	2	0	0	202	88
3	0.0110785687	0.0034218233	4.13	9	22.440846976	1	0	0	945	301
2	0.0525913664	0.056547619	0.64	18	18.4619733987	4	0	0	1594	789
2	0.0525913664	0.056547619	0.64	0	25.7831007809	1	0	1	2229	877
1	0.0671081115	0.0132575758	3.07	2	26.1014106671	3	0	0	564	205
1	0.0671081115	0.0132575758	3.07	9	16.3929591385	1	0	0	128	87
13	0.9988539412	0.3351954418	3440.82	15	23.3957766345	2	1	0	2533	1655
13	0.9988539412	0.3351954418	3440.82	828	18.4619733987	1	0	0	925	594
13	0.9988539412	0.3351954418	3440.82	560	20.0535228296	0	0	0	111	69
