Area	Coleta	Replica	Densidade	Altura	Biomassa	Serrapilheira
1	1	1	7	2.3357142857	476	823.6
1	1	3	8	2.56375	1327.1	1607.3
1	1	5	1	3.3	155.1	1218
1	1	9	5	2.536	824.48	1247.1
1	1	12	4	3.395	388	1386.7
1	1	13	6	2.3916666667	774.2	610.6
1	1	16	4	2.0375	510.9	1657.3
1	1	17	2	3.2	422.4	1490.8
1	1	19	9	3.0266666667	443.9	1188.6
1	1	20	6	3.2216666667	1091	1121.1
1	1	21	6	2.75	732	1344.6
1	1	28	4	2.91	987.2	1788.7
1	1	30	7	2.6257142857	1038	698.2
1	1	32	1	3.32	118.8	552.5
1	1	37	3	1.4666666667	334.09	605.8
1	1	39	6	3.085	665.9	713.4
1	1	43	6	2.5933333333	160.4	113.9
1	1	46	5	1.406	219.8	1189.1
1	1	49	2	2.83	1036	742.5
1	1	50	6	2.2283333333	582.8	1082.2
2	1	1	7	1.9085714286	728.3	1553.8
2	1	2	8	1.6375	408.8	1246.4
2	1	3	16	1.30875	672.7	436.3
2	1	4	24	1.4775	1048.1	500.6
2	1	5	16	1.3875	682	284.3
2	1	6	26	2.0780769231	1455.2	527.5
2	1	7	17	1.4523529412	714.5	547.1
2	1	8	5	1.424	252.7	835.46
2	1	9	14	1.9164285714	1163	596
2	1	10	17	1.5052941176	466.5	370.8
2	1	11	10	1.796	734	372.8
2	1	12	12	1.4875	921.4	234
2	1	13	26	1.515	392.7	69.2
2	1	14	13	1.6676923077	1018.6	365.1
2	1	15	15	1.602	841.1	393.4
2	1	16	13	1.17	537	240.5
2	1	17	10	1.712	769.7	525.2
2	1	18	4	1.105	114.5	390.1
2	1	19	17	1.3411764706	799	322.8
2	1	20	17	1.3564705882	743.4	531.9
