area	repeticao	data	ano	tratamento	M. albicans
CNQ	1	EC	2009	P1	4
CNQ	2	EC	2009	P1	36
CNQ	3	EC	2009	P1	6
CNQ	4	EC	2009	P1	45
CNQ	5	EC	2009	P1	13
CNQ	6	EC	2009	P1	78
CNQ	7	EC	2009	P1	25
CNQ	8	EC	2009	P1	13
CNQ	9	EC	2009	P1	1
CNQ	10	EC	2009	P1	5
CNQ	11	EC	2009	P1	4
CNQ	12	EC	2009	P1	6
CNQ	13	EC	2009	P1	70
CNQ	14	EC	2009	P1	29
CNQ	15	EC	2009	P1	24
CNQ	16	EC	2009	P1	9
CNQ	17	EC	2009	P1	3
CNQ	18	EC	2009	P1	9
CNQ	19	EC	2009	P1	17
CNQ	20	EC	2009	P1	63
CNQ	21	EC	2009	P1	52
CNQ	22	EC	2009	P1	27
CNQ	23	EC	2009	P1	16
CNQ	24	EC	2009	P1	3
CNQ	25	EC	2009	P1	3
CNQ	26	EC	2009	P1	19
CNQ	27	EC	2009	P1	15
CNQ	28	EC	2009	P1	9
CNQ	29	EC	2009	P1	0
CNQ	30	EC	2009	P1	73
CNQ	1	EC	2009	P2	7
CNQ	2	EC	2009	P2	54
CNQ	3	EC	2009	P2	9
CNQ	4	EC	2009	P2	18
CNQ	5	EC	2009	P2	36
CNQ	6	EC	2009	P2	26
CNQ	7	EC	2009	P2	9
CNQ	8	EC	2009	P2	9
CNQ	9	EC	2009	P2	2
CNQ	10	EC	2009	P2	2
CNQ	11	EC	2009	P2	9
CNQ	12	EC	2009	P2	37
CNQ	13	EC	2009	P2	52
CNQ	14	EC	2009	P2	19
CNQ	15	EC	2009	P2	32
CNQ	16	EC	2009	P2	9
CNQ	17	EC	2009	P2	10
CNQ	18	EC	2009	P2	7
CNQ	19	EC	2009	P2	12
CNQ	20	EC	2009	P2	20
CNQ	21	EC	2009	P2	32
CNQ	22	EC	2009	P2	39
CNQ	23	EC	2009	P2	17
CNQ	24	EC	2009	P2	3
CNQ	25	EC	2009	P2	3
CNQ	26	EC	2009	P2	9
CNQ	27	EC	2009	P2	11
CNQ	28	EC	2009	P2	10
CNQ	29	EC	2009	P2	0
CNQ	30	EC	2009	P2	4
CNQ	1	EC	2009	S	2
CNQ	2	EC	2009	S	0
CNQ	3	EC	2009	S	1
CNQ	4	EC	2009	S	0
CNQ	5	EC	2009	S	0
CNQ	6	EC	2009	S	0
CNQ	7	EC	2009	S	0
CNQ	8	EC	2009	S	0
CNQ	9	EC	2009	S	0
CNQ	10	EC	2009	S	0
CNQ	11	EC	2009	S	0
CNQ	12	EC	2009	S	0
CNQ	13	EC	2009	S	0
CNQ	14	EC	2009	S	0
CNQ	15	EC	2009	S	0
CNQ	16	EC	2009	S	0
CNQ	17	EC	2009	S	0
CNQ	18	EC	2009	S	2
CNQ	19	EC	2009	S	4
CNQ	20	EC	2009	S	5
CNQ	21	EC	2009	S	0
CNQ	22	EC	2009	S	2
CNQ	23	EC	2009	S	2
