 UA	Ambiente	Área	Riqueza	Abund_sp1
1	primário	101	35	3
2	primário	115	31	3
3	primário	143	39	1
4	primário	92	25	6
5	primário	51	22	1
6	primário	89	35	0
7	primário	128	43	3
8	primário	149	48	5
9	primário	127	35	0
10	primário	108	38	2
11	primário	83	32	0
12	primário	140	33	2
13	primário	163	40	2
14	primário	41	16	3
15	primário	107	31	5
16	primário	79	23	3
17	primário	104	32	1
18	primário	60	35	4
19	primário	82	22	3
20	primário	148	41	0
21	primário	97	24	2
22	primário	49	18	3
23	secundário	164	39	1
24	secundário	110	32	3
25	secundário	51	19	3
26	secundário	40	20	1
27	secundário	92	31	3
28	secundário	163	26	1
29	secundário	128	20	2
30	secundário	130	33	2
31	secundário	122	36	2
32	secundário	96	32	2
33	secundário	59	28	8
34	secundário	73	23	5
35	secundário	90	28	1
36	secundário	48	16	0
37	secundário	166	44	3
38	secundário	121	27	0
39	secundário	167	37	3
40	secundário	48	24	2
41	secundário	78	19	0
42	secundário	105	28	2
43	secundário	90	27	0
44	secundário	105	28	0
45	secundário	166	27	1
46	secundário	84	20	3
47	secundário	57	34	3
48	secundário	81	20	4
49	secundário	122	31	1
50	secundário	112	14	0
